dataset_id,title,url,final_url,http_status,reachable,error,elapsed_ms
inq-0001,Agricultural land classification,https://www.planning.data.gov.uk/dataset/agricultural-land-classification,https://www.planning.data.gov.uk/dataset/agricultural-land-classification,200,True,,111
inq-0002,Air quality management area,https://www.planning.data.gov.uk/dataset/air-quality-management-area,https://www.planning.data.gov.uk/dataset/air-quality-management-area,200,True,,113
inq-0003,Ancient woodland,https://www.planning.data.gov.uk/dataset/ancient-woodland,https://www.planning.data.gov.uk/dataset/ancient-woodland,200,True,,63
inq-0004,Archaeological priority area,https://www.planning.data.gov.uk/dataset/archaeological-priority-area,https://www.planning.data.gov.uk/dataset/archaeological-priority-area,200,True,,97
inq-0005,Area of outstanding natural beauty,https://www.planning.data.gov.uk/dataset/area-of-outstanding-natural-beauty,https://www.planning.data.gov.uk/dataset/area-of-outstanding-natural-beauty,200,True,,127
inq-0006,Article 4 direction area,https://www.planning.data.gov.uk/dataset/article-4-direction-area,https://www.planning.data.gov.uk/dataset/article-4-direction-area,200,True,,278
inq-0007,Asset of community value,https://www.planning.data.gov.uk/dataset/asset-of-community-value,https://www.planning.data.gov.uk/dataset/asset-of-community-value,200,True,,278
inq-0008,Battlefield,https://www.planning.data.gov.uk/dataset/battlefield,https://www.planning.data.gov.uk/dataset/battlefield,200,True,,144
inq-0009,Border,https://www.planning.data.gov.uk/dataset/border,https://www.planning.data.gov.uk/dataset/border,200,True,,289
inq-0010,Brownfield land,https://www.planning.data.gov.uk/dataset/brownfield-land,https://www.planning.data.gov.uk/dataset/brownfield-land,200,True,,138
inq-0011,Brownfield site,https://www.planning.data.gov.uk/dataset/brownfield-site,https://www.planning.data.gov.uk/dataset/brownfield-site,200,True,,262
inq-0012,Building preservation notice,https://www.planning.data.gov.uk/dataset/building-preservation-notice,https://www.planning.data.gov.uk/dataset/building-preservation-notice,200,True,,270
inq-0013,Built up area,https://www.planning.data.gov.uk/dataset/built-up-area,https://www.planning.data.gov.uk/dataset/built-up-area,200,True,,134
inq-0014,Central activities zone,https://www.planning.data.gov.uk/dataset/central-activities-zone,https://www.planning.data.gov.uk/dataset/central-activities-zone,200,True,,114
inq-0015,Certificate of immunity,https://www.planning.data.gov.uk/dataset/certificate-of-immunity,https://www.planning.data.gov.uk/dataset/certificate-of-immunity,200,True,,124
inq-0016,Civil parish,https://www.planning.data.gov.uk/dataset/,https://www.planning.data.gov.uk/dataset/,200,True,,129
inq-0017,Conservation area,https://www.planning.data.gov.uk/dataset/conservation-area,https://www.planning.data.gov.uk/dataset/conservation-area,200,True,,94
inq-0018,Design code area,https://www.planning.data.gov.uk/dataset/design-code-area,https://www.planning.data.gov.uk/dataset/design-code-area,200,True,,256
inq-0019,Development corporation boundary,https://www.planning.data.gov.uk/dataset/development-corporation-boundary,https://www.planning.data.gov.uk/dataset/development-corporation-boundary,200,True,,264
inq-0020,Educational establishment,https://www.planning.data.gov.uk/dataset/educational-establishment,https://www.planning.data.gov.uk/dataset/educational-establishment,200,True,,135
inq-0021,Flood risk zone,https://www.planning.data.gov.uk/dataset/flood-risk-zone,https://www.planning.data.gov.uk/dataset/flood-risk-zone,200,True,,298
inq-0022,Flood storage area,https://www.planning.data.gov.uk/dataset/flood-storage-area,https://www.planning.data.gov.uk/dataset/flood-storage-area,200,True,,152
inq-0023,Green belt,https://www.planning.data.gov.uk/dataset/green-belt,https://www.planning.data.gov.uk/dataset/green-belt,200,True,,128
inq-0024,Heritage at risk,https://www.planning.data.gov.uk/dataset/heritage-at-risk,https://www.planning.data.gov.uk/dataset/heritage-at-risk,200,True,,239
inq-0025,Heritage coast,https://www.planning.data.gov.uk/dataset/heritage-coast,https://www.planning.data.gov.uk/dataset/heritage-coast,200,True,,286
inq-0026,Historic parks and gardens,https://www.planning.data.gov.uk/dataset/,https://www.planning.data.gov.uk/dataset/,200,True,,129
