id,title,publisher,source_portal,country,uk_nation,domain,subdomain,research_roles,methods_supported,spatial_scale,temporal_resolution,coverage,formats,access_type,licence,authority_level,landing_url,link_type,verification_state,variables,notes,last_catalogue_review
inq-0001,Agricultural land classification,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/agricultural-land-classification,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0002,Air quality management area,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/air-quality-management-area,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0003,Ancient woodland,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/ancient-woodland,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0004,Archaeological priority area,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/archaeological-priority-area,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0005,Area of outstanding natural beauty,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/area-of-outstanding-natural-beauty,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0006,Article 4 direction area,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/article-4-direction-area,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0007,Asset of community value,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/asset-of-community-value,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0008,Battlefield,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/battlefield,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0009,Border,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/border,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0010,Brownfield land,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/brownfield-land,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0011,Brownfield site,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/brownfield-site,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0012,Building preservation notice,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/building-preservation-notice,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0013,Built up area,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/built-up-area,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0014,Central activities zone,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/central-activities-zone,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0015,Certificate of immunity,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/certificate-of-immunity,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0016,Civil parish,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/,official_collection,collection_record_link_checked,,Exact Planning Data slug returned 404 on 2026-09-04; retained as a collection record pending resolver confirmation.,2026-09-04
inq-0017,Conservation area,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/conservation-area,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0018,Design code area,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/design-code-area,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0019,Development corporation boundary,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/development-corporation-boundary,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0020,Educational establishment,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/educational-establishment,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0021,Flood risk zone,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/flood-risk-zone,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0022,Flood storage area,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/flood-storage-area,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0023,Green belt,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/green-belt,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0024,Heritage at risk,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/heritage-at-risk,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0025,Heritage coast,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/heritage-coast,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0026,Historic parks and gardens,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/,official_collection,collection_record_link_checked,,Exact Planning Data slug returned 404 on 2026-09-04; retained as a collection record pending resolver confirmation.,2026-09-04
inq-0027,Infrastructure project,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/infrastructure-project,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0028,Listed building,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/listed-building,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0029,Listed building outline,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/listed-building-outline,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0030,Local authority district,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/local-authority-district,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0031,Local nature reserve,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/local-nature-reserve,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0032,Local plan boundary,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/local-plan-boundary,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0033,Local Planning Authority,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/local-planning-authority,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0034,Local resilience forum boundary,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/local-resilience-forum-boundary,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0035,Locally listed building,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/locally-listed-building,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0036,Minerals plan boundary,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/minerals-plan-boundary,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0037,National nature reserve,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/national-nature-reserve,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0038,National park,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/national-park,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0039,Nature improvement area,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/nature-improvement-area,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0040,Nutrient neutrality catchment,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/nutrient-neutrality-catchment,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0041,Planning application,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/planning-application,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0042,Protected wreck site,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/protected-wreck-site,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0043,Public transport access node,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/,official_collection,collection_record_link_checked,,Exact Planning Data slug returned 404 on 2026-09-04; retained as a collection record pending resolver confirmation.,2026-09-04
inq-0044,Ramsar site,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/,official_collection,collection_record_link_checked,,Exact Planning Data slug returned 404 on 2026-09-04; retained as a collection record pending resolver confirmation.,2026-09-04
inq-0045,Region,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/region,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0046,Scheduled monument,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/scheduled-monument,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0047,Site of special scientific interest,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/site-of-special-scientific-interest,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0048,Special area of conservation,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/special-area-of-conservation,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0049,Special protection area,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/special-protection-area,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0050,Title boundary,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/title-boundary,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
inq-0051,Tree,"Ministry of Housing, Communities and Local Government",Planning Data,United Kingdom,England,Planning & Development,Planning geography / constraint,Study boundary | Context | Policy / constraint,GIS | Planning analysis | Spatial overlay,feature / administrative geography,varies,England,JSON | CSV | GeoJSON | Parquet | API,Open,Open Government Licence v3.0,Official,https://www.planning.data.gov.uk/dataset/tree,direct_dataset,indexed_on_official_catalogue,,Planning Data typology: Geography. Revalidate direct slug during import.,2026-09-04
